author_id,created_at,text
SouthwestAir,2022-06-02 10:47:00.073215,"@119398 We know how you feel, Monique. Thanks for hanging with us as we work to get you on your way! ^SL"
119398,2022-06-02 10:47:00.175226,@SouthwestAir I luh yall but what's the point of being early if we have to sit and wait on a gate? ijs...
SouthwestAir,2022-06-02 10:47:00.276808,"@119399 We're always happy to give you a lift, Amanda! Thanks for thinking of us to meet your travel needs today. See you soon! ^MK"
119399,2022-06-02 10:47:00.379027,Thank you @SouthwestAir for getting me back to ATL safely https://t.co/7byaQSVw9E
AppleSupport,2022-06-02 10:47:00.480065,"@119400 Having a reliable iPhone is important, and we want you to enjoy using it without worrying about battery life. Which iPhone do you have, and what's the iOS version it's currently running? DM us with details here: https://t.co/GDrqU22YpT"
119400,2022-06-02 10:47:00.581097,Anyone else having battery issues in IPhone? Degrading way to fast. @AppleSupport
SouthwestAir,2022-06-02 10:47:00.690806,"@119401 We're disheartened to see this, Shane. Did you file a baggage report with an Agent at the airport? ^MA"
119401,2022-06-02 10:47:00.793435,"@SouthwestAir We just got home saw it now. We figured the grey bag was to protect it, maybe a zipper broke. But we found the bag destroyed and covered up."
SouthwestAir,2022-06-02 10:47:00.896203,@119401 We're sorry to hear that. We do need such damages reported. Please call our Baggage Team at 1-888-202-1024 for assistance. ^MA
119401,2022-06-02 10:47:01.007543,"@SouthwestAir Already have. Problem is, getting married in a few days, fiance clothes are gone and only given a courtesy report with a follow up on friday"
SouthwestAir,2022-06-02 10:47:01.111854,@119401 We truly regret the frustration. It's never our intention to let you down. Please continue to work w/ our Baggage Team in this matter. ^MA
119401,2022-06-02 10:47:01.212976,"@SouthwestAir Frequent fliers on Southwest, just flew in for our wedding and found our checked bag in a trash bag, burned, tripped, and clothes ruined https://t.co/GqNzfUdL8v"
hulu_support,2022-06-02 10:47:01.320692,"@119402 Yikes! What model number is your LG TV? Do any errors pop up when it crashes? For now, work through: https://t.co/HXpLyTU79x."
119402,2022-06-02 10:47:01.422373,Amazing a year later and this still hasn't been fixed. @hulu_support @115940 @118302 https://t.co/Wbp9igOEqs
AmazonHelp,2022-06-02 10:47:01.525762,@119403 Please let us know if doesn't arrive by Friday! We'd like to help! ^ZW
119403,2022-06-02 10:47:01.628136,@AmazonHelp Hey so my package has not arrived yet. Can I get this sorted please
AmazonHelp,2022-06-02 10:47:01.729912,"@119403 While we can't access order or account details through social media, we'd still like to help! Please reach us directly via phone or chat so we can investigate: https://t.co/JzP7hlA23B ^CS"
119403,2022-06-02 10:47:01.830797,@AmazonHelp I will just a bit frustrating that’s all considering it was on amazon prime
119403,2022-06-02 10:47:01.937439,@AmazonHelp You have and it’s been pushed (again) to Friday or possibly Saturday or god forbid Monday. Was told it would be diverted by 8pm tonight.
AmazonHelp,2022-06-02 10:47:02.038733,@119403 I'm sorry for the delay! Have we provided an updated delivery estimate for your order? Please check here: https://t.co/mm84Ic925f ^MB
119403,2022-06-02 10:47:02.140365,@115830 thank you for delaying my package again and again. Not like I wanted it or anything
hulu_support,2022-06-02 10:47:02.251716,"@119404 Sorry for any frustration. For full pricing details, please see: https://t.co/777zhIf5hM. We'll share the feedback."
119404,2022-06-02 10:47:02.353587,Wow. Talk about price gouging. https://t.co/kq6BGHO8DQ
hulu_support,2022-06-02 10:47:02.455334,@119405 Uh oh! On what device are you experiencing buffering? Any specific channel affected? Please try: https://t.co/HXpLyTU79x.
119405,2022-06-02 10:47:02.556480,@119406 @119407 @hulu_support I like the way Hulu is organized better. But they have to do something about that buffering. @hulu_support
119406,2022-06-02 10:47:02.663013,@119405 @119407 @hulu_support Trying free week of Hulu and disappointed is Sling better?
119405,2022-06-02 10:47:02.767575,@119407 Testing Hulu &amp; https://t.co/9h6hEd7WtE to decide which is better. Have to switch to Sling all the time due to Hulu buffering. @hulu_support
119407,2022-06-02 10:47:02.870072,Anyone else having issues with Hulu Live TV tonight? Constant buffering
hulu_support,2022-06-02 10:47:02.972196,"@119408 Sorry! You can resume shows from Keep Watching on Home. To browse/pick an ep, go to the show's page and select Episodes."
119408,2022-06-02 10:47:03.076037,@115940 has THE WORST iPad interface. Why can’t I just see the last show I watched and  quickly pick through seasons and episodes?!
hulu_support,2022-06-02 10:47:03.187349,"@119409 Yikes! Which shows have you noticed this with? If you try uninstalling/reinstalling our app ( https://t.co/HQL1KwGgWo ), any change?"
119409,2022-06-02 10:47:03.288779,"Gah. @115940 on the appletv is super buggy. Not only is it difficult for kids to use, it doesn’t correctly track where we left off ☹️"
Ask_Spectrum,2022-06-02 10:47:03.392473,"@119410 Good evening. If you would please DM your account or phone number for me, I'll be happy to look into this for you. ^MO"
119410,2022-06-02 10:47:03.493745,"@Ask_Spectrum Spectrum. You have officially been put on my “worst and incapable companies” list, aka shit list, to never do business with ever again."
119410,2022-06-02 10:47:03.595031,@Ask_Spectrum admits to having shitty reliability in a professional setting when providing a service consumers pay for?! I’m switching to AT&amp;T. Thanks ...
119410,2022-06-02 10:47:03.696100,"@Ask_Spectrum time actually had the audacity to say that frequent outages are common in my area, a brand new villa development. Like, WTF?! Who blatantly"
119410,2022-06-02 10:47:03.803061,@Ask_Spectrum visits. Each one fixing some minor issue and then leaving. Only to have the same issue happen AGAIN after they leave. The Technician this...
119410,2022-06-02 10:47:03.905550,"(Thread) Think twoce before you get @Ask_Spectrum ‘s service in Hopkinsville, Ky. I’ve almost had them a month now and had FIVE service..."
